fy,edition,document,name,printed_heading,pages,what_it_is,grain,columns,layout,printed_total,approx_rows,extractable,notes,cluster
2016,FY2016-addendum,4122-fy-2016-annual-town-report-addendum.pdf,Special revenue funds -- complete version,(no heading recovered; the main report's version is headed 'TOWN OF LUNENBURG / SPECIAL REVENUE FUNDS / FISCAL YEAR ENDING 6/30/16'),2-6,"Every grant, gift, revolving and enterprise fund the town held in FY2016 with its opening balance, receipts, disbursements and closing balance -- the same table the main report prints on pp31-35, here running unbroken from the General Government block to the GRAND TOTAL.",one named fund,PROGRAM NAME | FORWARD 7/1/2015 | TOTAL RECEIPTS | TOTAL DISBURSEMENTS | BALANCE FWD 7/1/2016,"five pages, one fund per line with its four figures aligned across the line -- this is the ONE table in the addendum whose OCR is row-oriented and usable directly. Group headings (SCHOOL DEPARTMENT, PUBLIC SAFETY, PARKS & RECREATION, HIGHWAY DEPT, COUNCIL ON AGING, LIBRARY, CEMETERIES, UNCLASSIFIED) print on their own lines.","GRAND TOTAL $2,704,480.72 $6,543,358.01 $6,074,216.03 $3,173,622.70 (addendum p6, last line)",130,messy,"The figures agree with the main report's version wherever both are legible, so this is a genuine reprint rather than a correction of the numbers. WHAT IT FIXES is the main report's DUPLICATED PAGE 32 -- the addendum's sequence has no duplicate, so it is the safer source for a row count. WHAT IT COSTS is OCR quality: this version drops many fund NAMES entirely (a line begins with the numbers and no label -- e.g. '$26,050.14 $396,270.67 $410,580.86 $11,739.95' is School Lunch, unnamed), and it introduces digit errors the main report does not have ('533,108.96' for $33,108.96 in School Facilities Use receipts; '$63.086.73' for $63,086.73; '$254,512.23 $286.673.00'; 'CHEck or Ticket' for 'GHSB Click It Or Ticket'; '(1.,964.05)'). USE THE MAIN REPORT FOR THE FIGURES AND THIS FILE ONLY TO CONFIRM THAT PAGE 32 IS A DUPLICATE.",complete funds revenue special
2016,FY2016-addendum,4122-fy-2016-annual-town-report-addendum.pdf,Debt repayment schedule to FY2047 -- complete version,"TOWN OF LUNENBURG DEBT REPAYMENT SCHEDULE AS OF JUNE 30, 2016",7-8,"Principal and interest due in every fiscal year from 2017 to 2047 on each outstanding debt issue, with a TOTAL column per issue. Two pages carry what the main report spreads over three.","one debt issue (three rows each: PRINCIPAL, INTEREST, TOTAL)",FISCAL YEAR | one column per fiscal year | TOTAL,"The OCR has TRANSPOSED the table: each fiscal YEAR becomes one text line carrying every issue's figures for that year in sequence, and the issue names arrive as a single run-on line at the foot of each page ('FISCAL YEAR MASS WATER POOL 3* PRINCIPAL TOTAL MASS WATER POLL TRUST MASS WATER POOL 4* PRINCIPAL INTEREST ...'). To read any issue's schedule you must take the same ordinal position out of every year-line.","the TOTAL column is recovered as a line on addendum p8 beginning 'TOTAL $10,651 $533 $11,184 $32,145 $2,452 $34,597 $100,000 $9,966 $109,966 $665,889 $81,507 $747,396 $7,615,000 $1,236,400 $8,851,400 ...' -- the grand totals themselves ($52,186,686 principal / $23,849,136 interest / $76,035,822 total) are printed in the main report on p46",57,not without geometry,"THIS FILE CARRIES THE TABLE'S PRINTED TITLE, which the main report's pages 44-46 do not -- there the pages open straight into a FISCAL YEAR row. So the only place the document is formally named 'TOWN OF LUNENBURG DEBT REPAYMENT SCHEDULE AS OF JUNE 30, 2016' is here. The OCR is badly degraded: year labels are wrong in places ('2028.' with a stray full stop, and two lines both labelled '2012' which cannot be right for a schedule starting in 2017), and several figures are mangled ('82,755 8106636 8122-580', '3305302 $213,463', '51.105,338 $1.107,994', '$17.432'). Addendum p8 also carries a garbled '204Z' for 2047. Use the main report's pp44-46 for the year-by-year figures and this file only to confirm the table's title and the per-issue TOTAL column.",complete debt repayment version
2016,FY2016-addendum,4122-fy-2016-annual-town-report-addendum.pdf,Collection of taxes -- receivables summary -- complete version with grand total,"TOWN OF LUNENBURG FY2016 COLLECTION OF TAXES RECEIVABLES SUMMARY JUNE 30, 2016",9-12,"For every tax type and every levy year still open, the full movement from opening receivable through commitments, adjustments, refunds, payments, abatements and transfers to the closing balance -- including the ABATEMENTS, TRANSFER and BALANCES columns the main report loses and the GRAND TOTAL row it does not print at all.",one tax type and levy year,FISCAL YEAR | FORWARD | COMMITTMENTS | ADJUSTMENTS | REFUNDS | PAYMENTS | ABATEMENTS | TRANSFER | BALANCES,"The OCR has TRANSPOSED the table: each printed COLUMN becomes one text line carrying all that column's values in row order, and the row labels arrive as a run-on line ('FISCAL YEAR REAL ESTATE LEVY OF 2007 LEVY OF 2008 ... PERSONAL PROPERTY LEVY OF ...'). Column identity IS recoverable because each line is prefixed with its own column name (ABATEMENTS, PAYMENTS, REFUNDS, COMMITTMENTS ADJUSTMENTS, FORWARD, FISCAL YEAR). But the columns are sparse, so the values on a given column-line do not line up one-to-one with the labels on the label-line -- you must use the page image to know which rows a column's values belong to.","GRAND TOTAL row on addendum p12: FORWARD $8,785,059.19; COMMITTMENTS/ADJUSTMENTS/REFUNDS $27,413,095.43; then ($140,450.41), $68,096.46, ($26,679,833.15) and ABATEMENTS ($169,743.50). The TRANSFER and BALANCES totals are not in the text layer.",70,not without geometry,"THIS IS THE MOST IMPORTANT PAGE RANGE IN THE ADDENDUM. The main report's pp47-49 print the header shrinking from eight columns to five to four and then stop mid-table with no total; page 50 of the main report has no text layer and no OCR at all. Here the whole table is present. The FORWARD grand total $8,785,059.19 exactly equals the FY2015 report's own CLOSING grand total for the same table (FY2015 p45, 'GRAND TOTAL ... $8,785,059.19'), so the two years chain and the FY2016 figure can be checked against the prior report. p11 covers the user-charge, utility-lien and betterment sections; p12 carries only the last row (SEPTIC COMMITTED INT) and the GRAND TOTAL. Note the source's own misspelling 'COMMITTMENTS' with two Ts, matching FY2015.",collection complete grand receivables
2016,FY2016-addendum,4122-fy-2016-annual-town-report-addendum.pdf,Town and school employee compensation -- the missing beginning of the list,"(none -- as in both main reports, this table has no heading anywhere)",13-17,Gross calendar-year earnings by employee and department. This is the portion of the alphabet the main FY2016 report does not print -- the main report begins at BENOIT and these pages run from around BYRNE through the alphabet.,one employee,SURNAME | FORENAME | DEPARTMENT | amount,"multi-column, and the OCR is close to a total loss. Surnames come through in one column, some forenames in another, some department codes in a third, and THE DOLLAR AMOUNTS DO NOT APPEAR AT ALL -- not one earnings figure is recoverable from the text layer of these five pages.",,180,not without geometry,"TREAT THESE PAGES AS IMAGES. Recovered content is fragmentary surname/forename/department triples that do not align -- for example p13 yields 'BYRNE / FIRE', 'CAIOZZO', 'CAISSEY', 'CALL SARAH', 'CALMES', 'CAMELO TRACI FIRE', 'CARLSON', 'CARON', 'CARRIER LINDA', 'CAVAIOLI SUSAN', 'CELONA', 'CHAIT'; p15 yields 'LANDI FIRE', 'LEET AMY', 'LEGER POLICE', 'LINK', 'LIVELY', 'LIZEK', 'LUCK', 'LUTH POLICE', 'LYNCH POLICE', 'LYONS'; p17 yields four fragments only ('KIT', 'COA', 'DPW', 'FIRE'). Departments visible include FIRE, POLICE, COA, DPW, SEWER. Because no amounts survive, this section CANNOT be used to reconstruct the missing A-to-BEND portion of the FY2016 payroll without going back to the PDF images. The FY2015 report's equivalent list (FY2015 pp206-211) IS complete and machine-readable, so for a two-year payroll comparison FY2015 is usable and FY2016 is not.",beginning compensation employee missing
2016,FY2016,4123-fy-2016-annual-town-report.pdf,Table of contents,TABLE OF CONTENTS                  TABLE OF CONTENTS,4-5,"The report's own index of sections and page numbers, with dotted leaders.",one report section,section name | page number(s),single column with dotted leaders; the heading is printed twice on the same line,,60,clean,"Three sections are recorded as 'no report submitted' -- Agricultural Commission, Architectural Preservation District Commission, Green Community Task Force. New sections against FY2015: Finance Committee (64-65), Technology Department (104), School Lunch Program (107), and four separate election sections. The last entry says 'TOWN OFFICES HOURS ... Inside Back Cover' -- it is actually printed on page 203.",contents
2016,FY2016,4123-fy-2016-annual-town-report.pdf,In Memoriam notices,In Memoriam,3,"Obituary notices for residents who died during the year, naming the town roles they held.",one deceased resident,name | age | narrative,prose blocks,,3,clean,"Cross-check against the cemetery burial list on p53, which records Marion M. Benson, 83, North, in January.",memoriam notices
2016,FY2016,4123-fy-2016-annual-town-report.pdf,Town profile facts,LUNENBURG PROFILE,6,"Fact block: year incorporated, registered voters, tax rate, form of government, meeting dates, area, road miles, followed by the town's descriptive history paragraph.",one fact,label | value,label-value lines followed by prose,,8,clean,"FY'16 TAX RATE-$19.62. REGISTERED VOTERS-7115 is UNCHANGED from the FY2015 report, which is implausible in a year with a presidential election that drew 6,440 ballots -- the line appears to have been copied forward. The FY'16 tax rate given here ($19.62) does not match the rate used in the Assessors' own tables on p37 ($19.61).",facts profile
2016,FY2016,4123-fy-2016-annual-town-report.pdf,Elected officials -- state and federal,ELECTED OFFICIALS,7,"Contact directory for Governor, Attorney General, congressional delegation and state legislators, with precinct assignments.",one officeholder,name | office | address | phone | email/website,two-column address blocks,,9,messy,Substantively identical to FY2015 p8.,elected federal officials state
2016,FY2016,4123-fy-2016-annual-town-report.pdf,Elected town officials with term-expiry years,ELECTED OFFICIALS,8-9,Every elected town board with its members and term expiry years.,one officeholder seat,board (with term length) | member name | term expiry year,"grouped list, 'Name - YYYY' lines under board headings",,55,clean,Resignations and vacancy appointments annotated inline.,elected expiry officials term
2016,FY2016,4123-fy-2016-annual-town-report.pdf,Appointed town officials,APPOINTED OFFICIALS,10-15,"Every appointed board, committee and single-officeholder position, with members and term-expiry years.",one appointed position/member,committee or position (with term length) | member name | term expiry year or note,"grouped list, sometimes multi-column for paired positions",,180,messy,"Header: 'TERMS ARE FOR ONE YEAR UNLESS OTHERWISE INDICATED.' Six pages here against five in FY2015. New this year: TOWN MANAGER SCREENING COMMITTEE (p15), reflecting the manager turnover described on p19. The obscure statutory posts (Clockwinders, Fence Viewers, Public Weighers) persist.",appointed officials
